iter	MultiClass
0	1.565619625
1	1.526536149
2	1.49189954233	1.456195328
4	1.425487466
5	1.398712776
6	1.382780135
7	1.36604858	18	1.34813149	9	1.330543963
10	1.313529741111	1.298113761212	1.284469781313	1.271477114	14	1.259278315	15	1.247991547
16	1.240104433
17	1.229949318	18	1.223103819	19	1.21395920	120	1.20569021	21	1.197646922	22	1.190120723	23	1.183089224	24	1.176265725	25	1.171512726	26	1.167518727	27	1.162299828	28	1.155491529	29	1.150530230	30	1.145425831	31	1.14016103232	1.137279133333	1.132748853434	1.12907735	135	1.12453436	136	1.12160137	137	1.1204338	1.38	1.1168939	1.112302542
40	1.40	1.1111341	1.41	1.1071042	1.42	1.1030543	1.43	1.1004944	1.44	1.0973345	1.45	1.093446	1.046	1.091736188
47	1.08890569
48	1.086002422
49	1.083404358
50	1.079970767
51	1.077961807
52	1.075368709
53	1.07231405
54	1.069401439
55	1.065863927
56	1.064320418
57	1.061490422
58	1.060503311
59	1.057519178
60	1.05534665
61	1.053205437
62	1.050758663
63	1.047993316
64	1.045877772
65	1.04540544
66	1.044276668
67	1.041358797
68	1.039001285
69	1.036704603
70	1.034533337
71	1.032952558
72	1.030005062
73	1.028208509
74	1.027154855
75	1.024811308
76	1.023321521
77	1.021902357
78	1.021461214
79	1.019134671
80	1.017395716
81	1.01554705
82	1.013938708
83	1.011862681
84	1.010353487
85	1.008682714
86	1.00658365
87	1.005271864
88	1.003066613
89	1.000949916
90	0.9982849786
91	0.9968491089
92	0.9952780387
93	0.9938593115
94	0.9915798661
95	0.9903306271
96	0.9890586768
97	0.9872285328
98	0.9855327589
99	0.9842719799
100	0.9827159683
101	0.9813235949
102	0.9803221273
103	0.9786101849
104	0.9770617087
105	0.9756876307
106	0.9742751227
107	0.9733545295
108	0.9716915035
109	0.9705959631
110	0.9693529645
111	0.9678880581
112	0.9667809962
113	0.9650442264
114	0.9636542763
115	0.9618251441
116	0.9602417467
117	0.9590033154
118	0.9574043239
119	0.9564792855
120	0.9548534596
121	0.9540644343
122	0.953291928
123	0.9526691557
124	0.951029666
125	0.94955246
126	0.9475598163
127	0.9466847325
128	0.9455510735
129	0.9434999282
130	0.9421652368
131	0.9409006798
132	0.9390539368
133	0.9384294281
134	0.9366295861
135	0.9353167586
136	0.9341226201
137	0.9330469493
138	0.9315837039
139	0.9298564232
140	0.929219953
141	0.9272143246
142	0.9259909901
143	0.9244759926
144	0.9231866178
145	0.9213768212
146	0.9203284942
147	0.9193336686
148	0.917846323
149	0.91683963
150	0.9150481583
151	0.9131513324
152	0.9118207081
153	0.9109442493
154	0.9092272986
155	0.9083234476
156	0.9075832827
157	0.9059229662
158	0.9052196292
159	0.9043264328
160	0.9037789583
161	0.9021398056
162	0.9012111254
163	0.900551388
164	0.8995497556
165	0.8985059665
166	0.8972185836
167	0.8958614699
168	0.8949536308
169	0.8938901624
170	0.8930218586
171	0.8916907833
172	0.8906087548
173	0.8897655508
174	0.8887505861
175	0.8880444977
176	0.8858877093
177	0.8848173097
178	0.8838013514
179	0.8828226293
180	0.8818639236
181	0.8804083598
182	0.8795152158
183	0.8792607323
184	0.8786987757
185	0.8782654986
186	0.8771086757
187	0.8755095609
188	0.8748494486
189	0.8740615093
190	0.8732123633
191	0.8725586606
192	0.8714076421
193	0.8710647086
194	0.8698325819
195	0.867825925
196	0.8666956305
197	0.8651461667
198	0.8644569162
199	0.8634318631
99599996
